,name,university,type,location,duration,link
117,Datafication and Digital Literacy,University of Groningen,Master,Groningen,1.5 year,https://www.studyinnl.org//dutch-education/studies/datafication-and-digital-literacy-10032
118,MSc Marketing - Marketing Management,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/msc-marketing-marketing-management-10230
119,Applied Cognitive Neuroscience,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/applied-cognitive-neuroscience-4343
120,Youth 0-21 Society and Policy,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/youth-0-21-society-and-policy-4690
121,MSc Marketing - Marketing Analytics and Data Science,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/msc-marketing-marketing-analytics-and-data-science-10662
122,Biotechnology,Hanze University of Applied Sciences,Bachelor,Groningen,-,https://www.studyinnl.org//dutch-education/studies/biotechnology-8367
123,Applied Physics,University of Groningen,Bachelor,Groningen,3 years,https://www.studyinnl.org//dutch-education/studies/applied-physics-465
124,Journalism (English taught),University of Groningen,Master,Groningen,1.5 year,https://www.studyinnl.org//dutch-education/studies/journalism-english-taught-4590
125,Physics,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/physics-483
126,Science Education and Communication,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/science-education-and-communication-520
127,Applied Mathematics,University of Groningen,Bachelor,Groningen,3 years,https://www.studyinnl.org//dutch-education/studies/applied-mathematics-466
128,Marine Biology,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/marine-biology-496
129,Mechanical Engineering,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/mechanical-engineering-492
130,Theology & Religious Studies,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/theology-religious-studies-532
131,North American Studies,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/north-american-studies-537
132,Linguistics,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/linguistics-526
133,History,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/history-481
134,History,University of Groningen,Bachelor,Groningen,3 years,https://www.studyinnl.org//dutch-education/studies/history-438
135,Energy & Power Electronics,Hanze University of Applied Sciences,Bachelor,Groningen,4 years,https://www.studyinnl.org//dutch-education/studies/energy-power-electronics-57509
136,DDM Sustainable Urban and Regional Development,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/ddm-sustainable-urban-and-regional-development-13430
137,Econometrics and Operations Research,University of Groningen,Bachelor,Groningen,3 years,https://www.studyinnl.org//dutch-education/studies/econometrics-and-operations-research-458
138,Physics,University of Groningen,Bachelor,Groningen,3 years,https://www.studyinnl.org//dutch-education/studies/physics-424
139,Innovative Medicine,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/innovative-medicine-4399
140,Medical Pharmaceutical Sciences,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/medical-pharmaceutical-sciences-497
141,Environmental Psychology,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/environmental-psychology-4349
142,International Relations,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/international-relations-528
143,Anthropology of Religion and Culture,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/anthropology-of-religion-and-culture-57613
144,Master of Business Administration,Tio University of Applied Sciences,Master,Groningen,3 years,https://www.studyinnl.org//dutch-education/studies/master-of-business-administration-10889
145,Technology Law and Innovation,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/technology-law-and-innovation-12781
146,American Studies,University of Groningen,Bachelor,Groningen,3 years,https://www.studyinnl.org//dutch-education/studies/american-studies-427
147,Heritage and Religion,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/heritage-and-religion-4568
148,International Relations (120 EC),University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/international-relations-120-ec-527
149,Learning in Interaction,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/learning-in-interaction-11006
150,Biomedical Engineering,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/biomedical-engineering-546
151,Information Science,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/information-science-4715
152,"Philosophy, Politics and Economics",University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/philosophy-politics-and-economics-572
153,Astronomy,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/astronomy-482
154,Theology & Religious Studies,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/theology-religious-studies-533
155,Industrial Engineering and Management,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/industrial-engineering-and-management-473
156,Business Administration: Health,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/business-administration-health-4422
157,Public International Law,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/public-international-law-540
158,Theoretical and Empirical Linguistics,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/theoretical-and-empirical-linguistics-4519
159,DDM Marketing & Information Systems,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/ddm-marketing-information-systems-9945
160,International Business Management,Tio University of Applied Sciences,Bachelor,Groningen,3 years,https://www.studyinnl.org//dutch-education/studies/international-business-management-10234
161,American Studies,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/american-studies-4601
162,Psychology (EN),University of Groningen,Bachelor,Groningen,3 years,https://www.studyinnl.org//dutch-education/studies/psychology-en-4225
163,Economics and Business Economics,University of Groningen,Bachelor,Groningen,3 years,https://www.studyinnl.org//dutch-education/studies/economics-and-business-economics-435
164,English Literature and Culture,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/english-literature-and-culture-4500
165,Communication and Information Studies,University of Groningen,Bachelor,Groningen,3 years,https://www.studyinnl.org//dutch-education/studies/communication-and-information-studies-456
166,Mathematics,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/mathematics-563
167,Sensors & Smart Systems,Hanze University of Applied Sciences,Bachelor,Groningen,4 years,https://www.studyinnl.org//dutch-education/studies/sensors-smart-systems-57511
168,Master in International Business and Management,Hanze University of Applied Sciences,Master,Groningen,1.5 year,https://www.studyinnl.org//dutch-education/studies/master-in-international-business-and-management-2020
169,Finance,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/finance-4274
170,Archaeology,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/archaeology-480
171,Sport Sciences,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/sport-sciences-516
172,Accountancy and Controlling,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/accountancy-and-controlling-503
173,Research Master in Economics and Business,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/research-master-in-economics-and-business-485
174,"Renewable Energy, Materials and Processing",Hanze University of Applied Sciences,Bachelor,Groningen,-,https://www.studyinnl.org//dutch-education/studies/renewable-energy-materials-and-processing-8360
175,International Tourism Management,Tio University of Applied Sciences,Bachelor,Groningen,3 years,https://www.studyinnl.org//dutch-education/studies/international-tourism-management-10235
176,Art History,University of Groningen,Bachelor,Groningen,3 years,https://www.studyinnl.org//dutch-education/studies/art-history-455
177,Biology,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/biology-562
178,Finance,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/finance-4271
179,Media Creation and Innovation,University of Groningen,Master,Groningen,1.5 year,https://www.studyinnl.org//dutch-education/studies/media-creation-and-innovation-10035
180,International Business and Management,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/international-business-and-management-507
181,Artificial Intelligence,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/artificial-intelligence-564
182,"Religion and Pluralism, Ancient & Modern",University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/religion-and-pluralism-ancient-modern-4566
183,Mechanical Engineering,Hanze University of Applied Sciences,Bachelor,Groningen,4 years,https://www.studyinnl.org//dutch-education/studies/mechanical-engineering-13306
184,International Economics and Sustainable Development,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/international-economics-and-sustainable-development-541
185,Media Studies,University of Groningen,Master,Groningen,1.5 year,https://www.studyinnl.org//dutch-education/studies/media-studies-535
186,Medical Biology,Hanze University of Applied Sciences,Bachelor,Groningen,-,https://www.studyinnl.org//dutch-education/studies/medical-biology-13601
187,International Political Economy,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/international-political-economy-4479
188,"Ethics of Education: History, Pedagogy and Critical Sociology",University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/ethics-of-education-history-pedagogy-and-critical-sociology-4691
189,Mathematics,University of Groningen,Bachelor,Groningen,3 years,https://www.studyinnl.org//dutch-education/studies/mathematics-468
190,"Religion, Conflict and Globalization",University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/religion-conflict-and-globalization-4564
191,Mechanical Engineering,Hanze University of Applied Sciences,Bachelor,Groningen,4 years,https://www.studyinnl.org//dutch-education/studies/mechanical-engineering-1966
192,European Master in Renewable Energy,Hanze University of Applied Sciences,Master,Groningen,1.5 year,https://www.studyinnl.org//dutch-education/studies/european-master-in-renewable-energy-2018
193,Film and Contemporary Audiovisual Media,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/film-and-contemporary-audiovisual-media-10033
194,International Relations and International Organization,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/international-relations-and-international-organization-4476
195,Theory and History of Psychology,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/theory-and-history-of-psychology-4346
196,DDM Sustainable Water Management,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/ddm-sustainable-water-management-13410
197,Chemistry,University of Groningen,Bachelor,Groningen,3 years,https://www.studyinnl.org//dutch-education/studies/chemistry-461
198,Finance,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/finance-474
199,DDM Economic Development and Growth (MEDEG),University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/ddm-economic-development-and-growth-medeg-4612
200,Applied Mathematics,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/applied-mathematics-486
201,International Relations and International Organization,University of Groningen,Bachelor,Groningen,3 years,https://www.studyinnl.org//dutch-education/studies/international-relations-and-international-organization-428
