,name,university,type,location,duration,link
72,Work and Organisational Psychology,Maastricht University,Master,Maastricht,1 year,https://www.studyinnl.org//dutch-education/studies/work-and-organisational-psychology-6369
73,Migration Studies,Maastricht University,Master,Maastricht,1 year,https://www.studyinnl.org//dutch-education/studies/migration-studies-6340
74,Data Science for Decision Making,Transnationale Universiteit Limburg,Master,Maastricht,2 years,https://www.studyinnl.org//dutch-education/studies/data-science-for-decision-making-2468
75,Master Scientific Illustration,Zuyd University of Applied Sciences,Master,Maastricht,2 years,https://www.studyinnl.org//dutch-education/studies/master-scientific-illustration-2165
76,Public Policy Process,Maastricht University,Short or summer course,Maastricht,5 days,https://www.studyinnl.org//dutch-education/studies/public-policy-process-57703
77,Strategic Corporate Finance,Maastricht University,Master,Maastricht,11 months,https://www.studyinnl.org//dutch-education/studies/strategic-corporate-finance-6298
78,Economic & Financial Research,Maastricht University,Master,Maastricht,2 years,https://www.studyinnl.org//dutch-education/studies/economic-financial-research-6286
79,Facility and Real Estate Management,Zuyd University of Applied Sciences,Master,Maastricht,1 year,https://www.studyinnl.org//dutch-education/studies/facility-and-real-estate-management-2167
80,Medicine,Maastricht University,Bachelor,Maastricht,3 years,https://www.studyinnl.org//dutch-education/studies/medicine-979
81,Financial Economics,Maastricht University,Master,Maastricht,11 months,https://www.studyinnl.org//dutch-education/studies/financial-economics-1006
82,Arts and Culture,Maastricht University,Master,Maastricht,1 year,https://www.studyinnl.org//dutch-education/studies/arts-and-culture-998
83,Marketing-Finance,Maastricht University,Master,Maastricht,11 months,https://www.studyinnl.org//dutch-education/studies/marketing-finance-6302
84,Clinical Psychology,Maastricht University,Master,Maastricht,2 years,https://www.studyinnl.org//dutch-education/studies/clinical-psychology-6318
85,Hotel Management,Zuyd University of Applied Sciences,Bachelor,Maastricht,4 years,https://www.studyinnl.org//dutch-education/studies/hotel-management-2139
86,An Introduction to Game Theory,Maastricht University,Short or summer course,Maastricht,12 days,https://www.studyinnl.org//dutch-education/studies/an-introduction-to-game-theory-13867
87,Digital Business and Economics,Maastricht University,Master,Maastricht,1 year,https://www.studyinnl.org//dutch-education/studies/digital-business-and-economics-996
88,Forensic Psychology,Maastricht University,Master,Maastricht,2 years,https://www.studyinnl.org//dutch-education/studies/forensic-psychology-1034
89,Applied Data Science & Artificial Intelligence,Zuyd University of Applied Sciences,Bachelor,Maastricht,4 years,https://www.studyinnl.org//dutch-education/studies/applied-data-science-artificial-intelligence-14304
90,Circular Engineering,Maastricht University,Bachelor,Maastricht,3 years,https://www.studyinnl.org//dutch-education/studies/circular-engineering-10504
91,Governance of Innovation,Maastricht University,Master,Maastricht,1 year,https://www.studyinnl.org//dutch-education/studies/governance-of-innovation-6343
92,Psychology,Maastricht University,Master,Maastricht,1 year,https://www.studyinnl.org//dutch-education/studies/psychology-1029
93,Entrepreneurship & Business Development,Maastricht University,Master,Maastricht,11 months,https://www.studyinnl.org//dutch-education/studies/entrepreneurship-business-development-6304
94,Cognitive Neuroscience,Maastricht University,Master,Maastricht,2 years,https://www.studyinnl.org//dutch-education/studies/cognitive-neuroscience-6316
95,Public Policy and Human Development,Maastricht University,Master,Maastricht,1 year,https://www.studyinnl.org//dutch-education/studies/public-policy-and-human-development-1007
96,"Technology, markets and societal change",Maastricht University,Master,Maastricht,1 year,https://www.studyinnl.org//dutch-education/studies/technology-markets-and-societal-change-6362
97,Negotiation and Mediation,Maastricht University,Short or summer course,Maastricht,5 days,https://www.studyinnl.org//dutch-education/studies/negotiation-and-mediation-57704
98,Globalisation and Development Studies,Maastricht University,Master,Maastricht,1 year,https://www.studyinnl.org//dutch-education/studies/globalisation-and-development-studies-1016
99,Social Innovation and Entrepreneurship,Maastricht University,Short or summer course,Maastricht,5 days,https://www.studyinnl.org//dutch-education/studies/social-innovation-and-entrepreneurship-57705
100,Learning and Development in Organisations,Maastricht University,Master,Maastricht,1 year,https://www.studyinnl.org//dutch-education/studies/learning-and-development-in-organisations-988
101,"Organisation: Management, Change and Consultancy",Maastricht University,Master,Maastricht,11 months,https://www.studyinnl.org//dutch-education/studies/organisation-management-change-and-consultancy-6299
102,"Human Resources Management, Leadership and Culture in a Changing and Multicultural Context",Maastricht University,Short or summer course,Maastricht,12 days,https://www.studyinnl.org//dutch-education/studies/human-resources-management-leadership-and-culture-in-a-changing-and-multicultural-context-13205
103,From Cradle to Cortex: How Experiences in Infancy Shape the Brain,Maastricht University,Short or summer course,Maastricht,5 days,https://www.studyinnl.org//dutch-education/studies/from-cradle-to-cortex-how-experiences-in-infancy-shape-the-brain-57698
104,Artificial Intelligence,Transnationale Universiteit Limburg,Master,Maastricht,2 years,https://www.studyinnl.org//dutch-education/studies/artificial-intelligence-2469
105,Modern Political Culture: Ideas and Discourses in Context,Maastricht University,Master,Maastricht,1 year,https://www.studyinnl.org//dutch-education/studies/modern-political-culture-ideas-and-discourses-in-context-11172
106,Marketing for the Greater Good,Maastricht University,Short or summer course,Maastricht,5 days,https://www.studyinnl.org//dutch-education/studies/marketing-for-the-greater-good-13876
107,Introduction to Data Analytics in R - Online,Maastricht University,Short or summer course,Maastricht,5 days,https://www.studyinnl.org//dutch-education/studies/introduction-to-data-analytics-in-r-online-13229
108,Strategic Marketing,Maastricht University,Master,Maastricht,11 months,https://www.studyinnl.org//dutch-education/studies/strategic-marketing-6301
109,Data Science and Artificial Intelligence,Maastricht University,Bachelor,Maastricht,3 years,https://www.studyinnl.org//dutch-education/studies/data-science-and-artificial-intelligence-971
110,Interior Architecture,Zuyd University of Applied Sciences,Master,Maastricht,1 year,https://www.studyinnl.org//dutch-education/studies/interior-architecture-2163
111,Accounting & Business Information Technology,Maastricht University,Master,Maastricht,11 months,https://www.studyinnl.org//dutch-education/studies/accounting-business-information-technology-6297
112,Legal Psychology,Maastricht University,Master,Maastricht,1 year,https://www.studyinnl.org//dutch-education/studies/legal-psychology-6368
113,Imaging Engineering,Maastricht University,Master,Maastricht,2 years,https://www.studyinnl.org//dutch-education/studies/imaging-engineering-11415
114,Governance and Leadership in European Public Health,Maastricht University,Master,Maastricht,1 year,https://www.studyinnl.org//dutch-education/studies/governance-and-leadership-in-european-public-health-1009
115,Intensive Course in Applied Mathematics for Clinical Research,Maastricht University,Short or summer course,Maastricht,5 days,https://www.studyinnl.org//dutch-education/studies/intensive-course-in-applied-mathematics-for-clinical-research-57694
116,Luxury Industry: Your Journey into Luxury Experience and Marketing,Maastricht University,Short or summer course,Maastricht,12 days,https://www.studyinnl.org//dutch-education/studies/luxury-industry-your-journey-into-luxury-experience-and-marketing-57691
117,Health Education and Promotion,Maastricht University,Master,Maastricht,1 year,https://www.studyinnl.org//dutch-education/studies/health-education-and-promotion-1013
118,The Rise of China and Its Implications For World Politics,Maastricht University,Short or summer course,Maastricht,12 days,https://www.studyinnl.org//dutch-education/studies/the-rise-of-china-and-its-implications-for-world-politics-13208
119,You Think You Know Who You Are,Maastricht University,Short or summer course,Maastricht,4 days,https://www.studyinnl.org//dutch-education/studies/you-think-you-know-who-you-are-13878
120,Banking,Maastricht University,Master,Maastricht,11 months,https://www.studyinnl.org//dutch-education/studies/banking-6336
121,Computer Science,Maastricht University,Bachelor,Maastricht,3 years,https://www.studyinnl.org//dutch-education/studies/computer-science-12839
122,Introduction to Data Analytics in R,Maastricht University,Short or summer course,Maastricht,5 days,https://www.studyinnl.org//dutch-education/studies/introduction-to-data-analytics-in-r-10716
123,Strategic Risk Management for the Twenty First Century,Maastricht University,Short or summer course,Maastricht,5 days,https://www.studyinnl.org//dutch-education/studies/strategic-risk-management-for-the-twenty-first-century-57689
124,Arts and Culture,Maastricht University,Bachelor,Maastricht,3 years,https://www.studyinnl.org//dutch-education/studies/arts-and-culture-967
125,Public Policy Analysis,Maastricht University,Short or summer course,Maastricht,5 days,https://www.studyinnl.org//dutch-education/studies/public-policy-analysis-57708
126,Cognitive Neuroscience,Maastricht University,Master,Maastricht,1 year,https://www.studyinnl.org//dutch-education/studies/cognitive-neuroscience-6371
127,Water Management and Policy in the 21-st Century,Maastricht University,Short or summer course,Maastricht,12 days,https://www.studyinnl.org//dutch-education/studies/water-management-and-policy-in-the-21-st-century-57692
128,Supply Chain Management,Maastricht University,Master,Maastricht,11 months,https://www.studyinnl.org//dutch-education/studies/supply-chain-management-6303
129,International Project Management - Online,Maastricht University,Short or summer course,Maastricht,5 days,https://www.studyinnl.org//dutch-education/studies/international-project-management-online-11355
130,European Studies (research),Maastricht University,Master,Maastricht,1 year,https://www.studyinnl.org//dutch-education/studies/european-studies-research-1008
131,Information Management and Business Intelligence,Maastricht University,Master,Maastricht,11 months,https://www.studyinnl.org//dutch-education/studies/information-management-and-business-intelligence-6307
132,Contemporary Literature and Arts: Cultural Interventions and Social Justice,Maastricht University,Master,Maastricht,1 year,https://www.studyinnl.org//dutch-education/studies/contemporary-literature-and-arts-cultural-interventions-and-social-justice-11171
133,International Business,Maastricht University,Master,Maastricht,11 months,https://www.studyinnl.org//dutch-education/studies/international-business-997
134,Econometrics and Operations Research,Maastricht University,Master,Maastricht,1 year,https://www.studyinnl.org//dutch-education/studies/econometrics-and-operations-research-1005
135,European Public Health,Maastricht University,Bachelor,Maastricht,3 years,https://www.studyinnl.org//dutch-education/studies/european-public-health-970
0,Computing Science,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/computing-science-1390
1,Practical Theology,Radboud University,Master,Nijmegen,3 years,https://www.studyinnl.org//dutch-education/studies/practical-theology-7407
2,Software Science,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/software-science-7430
3,Accounting and Control,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/accounting-and-control-7542
4,"Economics, Behaviour and Policy",Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/economics-behaviour-and-policy-7544
5,European Law and Global Affairs,Radboud University,Master,Nijmegen,-,https://www.studyinnl.org//dutch-education/studies/european-law-and-global-affairs-12856
6,Corporate Sustainability,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/corporate-sustainability-7622
7,Molecular Chemistry,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/molecular-chemistry-12123
8,"Capital, Labour and Extraction",Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/capital-labour-and-extraction-7443
9,International Political Economy,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/international-political-economy-10360
10,Information Sciences,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/information-sciences-1385
11,Anthropology and Development Studies,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/anthropology-and-development-studies-1384
12,Molecular Life Sciences,Radboud University,Bachelor,Nijmegen,3 years,https://www.studyinnl.org//dutch-education/studies/molecular-life-sciences-1368
13,Social Cultural Science,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/social-cultural-science-1381
14,History of Philosophy and Science,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/history-of-philosophy-and-science-7370
15,Behavioural Science (research),Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/behavioural-science-research-1388
16,Tourism and Culture,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/tourism-and-culture-7357
17,International and European Law,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/international-and-european-law-1383
18,Clinical biology,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/clinical-biology-12135
19,Mathematics,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/mathematics-1421
20,Environment & Sustainability,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/environment-sustainability-7637
21,"Conflicts, Territories and Identities",Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/conflicts-territories-and-identities-7441
22,"Cities, Water and Climate Change",Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/cities-water-and-climate-change-7609
23,Molecular Life Sciences,HAN University of Applied Sciences,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/molecular-life-sciences-10060
24,Business Administration,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/business-administration-1395
25,International Business Communication,Radboud University,Bachelor,Nijmegen,3 years,https://www.studyinnl.org//dutch-education/studies/international-business-communication-7319
26,Corporate Finance and Control,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/corporate-finance-and-control-7540
27,History of Church and Theology,Radboud University,Master,Nijmegen,3 years,https://www.studyinnl.org//dutch-education/studies/history-of-church-and-theology-7406
28,Business Analysis and Modelling,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/business-analysis-and-modelling-7490
29,Medical Epigenomics,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/medical-epigenomics-12147
30,Spatial Planning,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/spatial-planning-1415
31,Environment and Society studies,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/environment-and-society-studies-1419
32,International Business,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/international-business-7482
33,Cognitive Computing,Radboud University,Master,Nijmegen,-,https://www.studyinnl.org//dutch-education/studies/cognitive-computing-11466
34,Human geography,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/human-geography-1392
35,Theology,Radboud University,Master,Nijmegen,3 years,https://www.studyinnl.org//dutch-education/studies/theology-1386
36,"Conflict, Power and Politics",Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/conflict-power-and-politics-7391
37,Communicatie- en Informatiewetenschappen (brede master),Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/communicatie-en-informatiewetenschappen-brede-master-1416
38,Human Rights and Migration,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/human-rights-and-migration-13053
39,Biology,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/biology-1420
40,Philosophy (research master),Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/philosophy-research-master-1380
41,Organisational Design & Development,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/organisational-design-development-7488
42,Psychology,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/psychology-1387
43,Linguistics,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/linguistics-1397
44,"Borders, Migration and Justice",Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/borders-migration-and-justice-7456
45,"Planning, Land and Real Estate Development",Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/planning-land-and-real-estate-development-7607
46,"Science, Management and Innovation",Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/science-management-and-innovation-13093
47,Artificial Intelligence,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/artificial-intelligence-1422
48,Political Theory,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/political-theory-7385
49,International Business Administration,Radboud University,Bachelor,Nijmegen,3 years,https://www.studyinnl.org//dutch-education/studies/international-business-administration-7244
50,International Business Administration,Radboud University,Bachelor,Nijmegen,3 years,https://www.studyinnl.org//dutch-education/studies/international-business-administration-7239
51,Behaviour Change,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/behaviour-change-7421
52,Religiewetenschappen,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/religiewetenschappen-1401
53,Economics and Business Economics,Radboud University,Bachelor,Nijmegen,3 years,https://www.studyinnl.org//dutch-education/studies/economics-and-business-economics-7262
54,Philosophy,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/philosophy-1399
55,Physical Chemistry,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/physical-chemistry-13092
56,Life Sciences,HAN University of Applied Sciences,Bachelor,Nijmegen,4 years,https://www.studyinnl.org//dutch-education/studies/life-sciences-8689
57,Chemistry,HAN University of Applied Sciences,Bachelor,Nijmegen,4 years,https://www.studyinnl.org//dutch-education/studies/chemistry-8685
58,Biblical Exegesis,Radboud University,Master,Nijmegen,3 years,https://www.studyinnl.org//dutch-education/studies/biblical-exegesis-7403
59,"Globalisation, Migration and Development",Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/globalisation-migration-and-development-7454
60,Adaptive Organisms,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/adaptive-organisms-7636
61,Global Communication and Diversity,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/global-communication-and-diversity-7613
62,Chemistry of Life,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/chemistry-of-life-12125
63,Metaphysics and Philosophical Anthropology,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/metaphysics-and-philosophical-anthropology-7369
64,"Historical, Literary and Cultural Studies",Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/historical-literary-and-cultural-studies-1403
65,Conservation and Restoration Ecology,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/conservation-and-restoration-ecology-7645
66,Historical Studies,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/historical-studies-7525
67,Strategic Human Resources Leadership,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/strategic-human-resources-leadership-7486
68,Economics,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/economics-1407
69,Marketing,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/marketing-7480
70,Ancient and Medieval Mediterranean Worlds,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/ancient-and-medieval-mediterranean-worlds-7529
71,Strategic Management,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/strategic-management-7479
72,Psychology,Radboud University,Bachelor,Nijmegen,3 years,https://www.studyinnl.org//dutch-education/studies/psychology-7297
73,Molecular Mechanisms of Disease,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/molecular-mechanisms-of-disease-1389
74,International Economics and Development,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/international-economics-and-development-7539
75,"Philosophy, Politics and Society",Radboud University,Bachelor,Nijmegen,3 years,https://www.studyinnl.org//dutch-education/studies/philosophy-politics-and-society-7279
76,Global Environment and Sustainability,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/global-environment-and-sustainability-7620
77,Philosophy of Mind and Language,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/philosophy-of-mind-and-language-7368
78,Creative Industries,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/creative-industries-7354
79,English Language and Culture,Radboud University,Bachelor,Nijmegen,3 years,https://www.studyinnl.org//dutch-education/studies/english-language-and-culture-1362
80,"Gender Equality, Diversity and Inclusion in Politics",Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/gender-equality-diversity-and-inclusion-in-politics-10358
81,Communicatie- en Informatiewetenschappen,Radboud University,Bachelor,Nijmegen,3 years,https://www.studyinnl.org//dutch-education/studies/communicatie-en-informatiewetenschappen-1365
82,European Union Governance and Politics,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/european-union-governance-and-politics-13049
83,Chemistry,Radboud University,Bachelor,Nijmegen,3 years,https://www.studyinnl.org//dutch-education/studies/chemistry-1367
84,Physics and Astronomy,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/physics-and-astronomy-1423
85,Data Science,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/data-science-7431
86,"Gender Equality, Diversity and Inclusion in Management",Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/gender-equality-diversity-and-inclusion-in-management-7477
87,"Cities, Culture and Inequality",Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/cities-culture-and-inequality-7452
88,Particle and Astrophysics,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/particle-and-astrophysics-36081
89,Literary Studies,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/literary-studies-7524
90,Molecular Sciences,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/molecular-sciences-1425
91,Urban and Regional Mobility,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/urban-and-regional-mobility-7611
92,Computing Science,Radboud University,Bachelor,Nijmegen,3 years,https://www.studyinnl.org//dutch-education/studies/computing-science-1376
93,Cognitive Neuroscience (research),Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/cognitive-neuroscience-research-1393
94,Biology,Radboud University,Bachelor,Nijmegen,3 years,https://www.studyinnl.org//dutch-education/studies/biology-1375
95,Ethics and Political Philosophy,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/ethics-and-political-philosophy-7366
96,Language Variation and Multilingualism,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/language-variation-and-multilingualism-7495
97,Local Environmental Change and Sustainable Cities,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/local-environmental-change-and-sustainable-cities-7624
98,Artificial Intelligence,Radboud University,Bachelor,Nijmegen,3 years,https://www.studyinnl.org//dutch-education/studies/artificial-intelligence-1369
99,Arts and Culture Studies,Radboud University,Bachelor,Nijmegen,3 years,https://www.studyinnl.org//dutch-education/studies/arts-and-culture-studies-7315
100,Algemene Cultuurwetenschappen,Radboud University,Bachelor,Nijmegen,3 years,https://www.studyinnl.org//dutch-education/studies/algemene-cultuurwetenschappen-1363
101,Innovation and Entrepreneurship,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/innovation-and-entrepreneurship-7484
102,Systematic Theology,Radboud University,Master,Nijmegen,3 years,https://www.studyinnl.org//dutch-education/studies/systematic-theology-7405
103,American Studies,Radboud University,Bachelor,Nijmegen,3 years,https://www.studyinnl.org//dutch-education/studies/american-studies-11475
104,Neurophysics,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/neurophysics-12165
105,History,Radboud University,Bachelor,Nijmegen,3 years,https://www.studyinnl.org//dutch-education/studies/history-1347
106,Art and Visual Culture,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/art-and-visual-culture-7523
107,Intelligent Technology,Radboud University,Master,Nijmegen,-,https://www.studyinnl.org//dutch-education/studies/intelligent-technology-11470
108,North American Studies,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/north-american-studies-7522
109,Cultural Geography and Tourism,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/cultural-geography-and-tourism-7439
110,Mathematical Foundations of Computing Science,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/mathematical-foundations-of-computing-science-7650
111,Pedagogical Sciences,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/pedagogical-sciences-7580
112,Comparative European History,Radboud University,Bachelor,Nijmegen,3 years,https://www.studyinnl.org//dutch-education/studies/comparative-european-history-7270
113,Biomedical Sciences,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/biomedical-sciences-1424
114,Microbiology,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/microbiology-7634
115,German Language and Culture,Radboud University,Bachelor,Nijmegen,3 years,https://www.studyinnl.org//dutch-education/studies/german-language-and-culture-1361
116,History,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/history-1406
117,"Work, Organisation and Health",Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/work-organisation-and-health-7415
118,Financial Economics,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/financial-economics-7538
119,Quantum Matter,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/quantum-matter-13071
120,"Transatlantic Studies: History, Culture and Politics",Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/transatlantic-studies-history-culture-and-politics-1402
121,Linguistics and Communication Sciences,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/linguistics-and-communication-sciences-1404
122,Science in Society,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/science-in-society-7633
123,Political Science,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/political-science-1382
124,Psychology,Radboud University,Bachelor,Nijmegen,3 years,https://www.studyinnl.org//dutch-education/studies/psychology-1354
125,Comparative Politics,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/comparative-politics-7387
126,Neurobiology,Radboud University,Master,Nijmegen,-,https://www.studyinnl.org//dutch-education/studies/neurobiology-12389
127,International Relations,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/international-relations-7389
128,Science for Sustainability,Radboud University,Master,Nijmegen,-,https://www.studyinnl.org//dutch-education/studies/science-for-sustainability-36094
129,Cyber Security,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/cyber-security-7649
130,Medicinal Chemistry,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/medicinal-chemistry-10040
131,Medical Biology,Radboud University,Master,Nijmegen,2 years,https://www.studyinnl.org//dutch-education/studies/medical-biology-1394
132,International and European Law Advanced,Radboud University,Master,Nijmegen,1 year,https://www.studyinnl.org//dutch-education/studies/international-and-european-law-advanced-13052
0,MA Programme Fine Art,HKU University of the Arts Utrecht,Master,Utrecht,2 years,https://www.studyinnl.org//dutch-education/studies/ma-programme-fine-art-10087
1,"Cancer, Stem Cells and Developmental Biology",Utrecht University,Master,Utrecht,2 years,https://www.studyinnl.org//dutch-education/studies/cancer-stem-cells-and-developmental-biology-5213
2,Conflict Studies and Human Rights,Utrecht University,Master,Utrecht,1 year,https://www.studyinnl.org//dutch-education/studies/conflict-studies-and-human-rights-5017
3,MA Programme Scenography,HKU University of the Arts Utrecht,Master,Utrecht,2 years,https://www.studyinnl.org//dutch-education/studies/ma-programme-scenography-10089
4,Computer Science,Utrecht University,Master,Utrecht,2 years,https://www.studyinnl.org//dutch-education/studies/computer-science-691
5,Multidisciplinary Economics,Utrecht University,Master,Utrecht,1 year,https://www.studyinnl.org//dutch-education/studies/multidisciplinary-economics-672
6,International Tourism Management,Tio University of Applied Sciences,Other,Utrecht,3 years,https://www.studyinnl.org//dutch-education/studies/international-tourism-management-10512
7,Health and Environment,Utrecht University,Master,Utrecht,1 year,https://www.studyinnl.org//dutch-education/studies/health-and-environment-5221
